,prompt,hallucinated
0,"""Context: No reference context provided.
Question: Produce a list of common words in the English language.
Answer:""",no
1,"""Context: No reference context provided.
Question: Provide a few examples of homophones.
Answer:""",yes
2,"""Context: No reference context provided.
Question: Create a chart outlining the world's population from 2000-2015.
Answer:""",yes
3,"""Context: No reference context provided.
Question: Design a shape with 10 vertices (corners).
Answer:""",yes
4,"""Context: No reference context provided.
Question: Automatically generate a 10 by 10 multiplication table.
Answer:""",yes
5,"""Context: No reference context provided.
Question: Design a web page that allows a user to sign up for an email list.
Answer:""",no
6,"""Context: No reference context provided.
Question: Create the HTML code necessary to display the following text.
Answer:""",yes
7,"""Context: No reference context provided.
Question: Name a few members of the LGBTQ+ community
Answer:""",no
8,"""Context: No reference context provided.
Question: Create a bar chart of the following values
10, 20, 30, 40
Answer:""",yes
9,"""Context: No reference context provided.
Question: Create a design for the given text snippet.
United We Stand
Answer:""",no
10,"""Context: No reference context provided.
Question: Create a class labeled “NIGHT” which describes the average evening of a person
Answer:""",no
11,"""Context: No reference context provided.
Question: Create a chart showing the comparison between COVID-19 cases and deaths in different countries.
Answer:""",yes
12,"""Context: No reference context provided.
Question: Provide a data visualization for the following data.
Cars per 100 households in 2020 by city
Boston: 22
Miami: 17
Austin: 19
Answer:""",yes
13,"""Context: No reference context provided.
Question: Generate an input data set that has three members and five attributes.
Answer:""",no
14,"""Context: No reference context provided.
Question: Create a library of code that implements a linked list data structure.
Answer:""",yes
15,"""Context: No reference context provided.
Question: Provide a list of items of the food in the given kitchen.
<image>
Answer:""",no
16,"""Context: No reference context provided.
Question: Create a webpage that displays a contact us form.
Answer:""",yes
17,"""Context: No reference context provided.
Question: Generate sample code using the given variables.
variables: num1, num2
Answer:""",yes
18,"""Context: No reference context provided.
Question: Generate a web page for a book review website.
Answer:""",yes
19,"""Context: No reference context provided.
Question: Create a web page to allow users to register for your workshop.
Answer:""",yes
20,"""Context: No reference context provided.
Question: Create a data table of countries located in Oceania
Answer:""",no
21,"""Context: No reference context provided.
Question: Insert the data into the table.
China | 437.11
Russia | 463.67
Canada | 29.6
Answer:""",yes
22,"""Context: No reference context provided.
Question: Create a C++ function that orders an array
No input
Answer:""",yes
23,"""Context: No reference context provided.
Question: Find the software release notes for the latest version of Google Chrome.
Answer:""",yes
24,"""Context: No reference context provided.
Question: Come up with an encryption method that encrypts the following message.
My name is John
Answer:""",yes
25,"""Context: No reference context provided.
Question: Create a Gantt chart to visualize the timeline of a project.
The project includes researching and writing a 10,000-word paper due in 5 weeks.
Answer:""",no
26,"""Context: No reference context provided.
Question: Generate a list of present continuous verbs.
Answer:""",no
27,"""Context: No reference context provided.
Question: Develop an HTML page from scratch introducing a pet store.
Answer:""",yes
28,"""Context: No reference context provided.
Question: Determine the size of a shoe, given shoe length and width measurements in centimeters.
Shoe length: 25 cm, Shoe width: 11 cm
Answer:""",no
29,"""Context: No reference context provided.
Question: Make a table of the top 10 fastest animals
Answer:""",yes
30,"""Context: No reference context provided.
Question: Sift through a text and find the most repeated words.
John went to the store with his friend Sam to buy some groceries. Sam had purchased some apples and oranges and wanted to try a different type of fruit. He wanted to buy a mango, but John warned him against it.
Answer:""",yes
31,"""Context: No reference context provided.
Question: Create the HTML code for a website with a header and a body.
Answer:""",no
32,"""Context: No reference context provided.
Question: Create a CSS style.
Answer:""",no
33,"""Context: No reference context provided.
Question: Create an invoice for a client.
Client: Joe Smith
Products purchased: 2 bottles of shampoo, 1 bar of soap
Answer:""",yes
34,"""Context: No reference context provided.
Question: Build a calculator using HTML and JavaScript.
Noinput
Answer:""",yes
35,"""Context: No reference context provided.
Question: Create a popup window with a message to the user.
Answer:""",no
36,"""Context: No reference context provided.
Question: Create an acrostic poem about 'belief'.
Answer:""",no
37,"""Context: No reference context provided.
Question: Given the type of words below, provide three examples of each.
Adjectives
Answer:""",no
38,"""Context: No reference context provided.
Question: Create a web page that displays the following data as a bar chart.
Data: {
    ""January"": 20,
    ""February"": 15,
    ""March"": 10,
    ""April"": 25,
    ""May"": 30
    }
Answer:""",yes
39,"""Context: No reference context provided.
Question: Choose the correctly punctuated sentence:
Answer:""",no
40,"""Context: No reference context provided.
Question: Write a script to delete all the users who have not been active for the past 3 months
Answer:""",yes
41,"""Context: No reference context provided.
Question: Please recommend me a movie.
Answer:""",no
42,"""Context: No reference context provided.
Question: Create a data table that lists five artificial intelligence companies and their founding years.
Answer:""",yes
43,"""Context: No reference context provided.
Question: Create a web page that displays the temperature of the city of Florence.
Answer:""",yes
44,"""Context: No reference context provided.
Question: Create a data set containing the population of 5 countries.
Answer:""",yes
45,"""Context: No reference context provided.
Question: Cite an article from a scientific journal that supports the use of GPT models.
Answer:""",yes
46,"""Context: No reference context provided.
Question: Create an HTML page with a dark theme.
Answer:""",no
47,"""Context: No reference context provided.
Question: Create an example for the given data structure.
Heap
Answer:""",no
48,"""Context: No reference context provided.
Question: Summarize a given article in 50 words or less.
Answer:""",no
49,"""Context: No reference context provided.
Question: Generate a humorous or creative poem about a topic of your choice.
Answer:""",no
50,"""Context: No reference context provided.
Question: Given the following python function, what is the result of calling it with the following argument: count_words('Loving living life')
Answer:""",yes
51,"""Context: No reference context provided.
Question: Invent a new word and explain its meaning.
Answer:""",no
52,"""Context: No reference context provided.
Question: Create an example of a data visualization chart to express the given data.
Population of China in 2020 is 1,439,323,776.
Answer:""",yes
53,"""Context: No reference context provided.
Question: Assume you are a web designer, create an HTML layout using CSS classes.
No input
Answer:""",yes
54,"""Context: No reference context provided.
Question: Create a table of nutritional value for the following food item.
Strawberries
Answer:""",yes
55,"""Context: No reference context provided.
Question: Summarize a recent major news event in 5 sentences.
Answer:""",no
56,"""Context: No reference context provided.
Question: Identify the most commonly used words in the text
I am so excited to go on an adventure and explore the world, it is going to be great!
Answer:""",yes
57,"""Context: No reference context provided.
Question: Update the content of the given table
Table with four columns containing country, population, GDP and GDP per capita
Answer:""",yes
58,"""Context: No reference context provided.
Question: Generate an example of a data frame with seven columns and five rows.
Answer:""",yes
